,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
0,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,33.52,33.24242424242424,N/A,0.48,185120000.0,5.96,2.54,1920000000.0,54.49,2039542400.0,4750000000.0,185120000.0,0.33,0.47,3.62,10430000000.0,1920000000.0,1310000000.0,0.33,0.33,17.25,17.25,1280000000.0,4.46,1950000000.0,1.50,22.99,17.25,2.26,0.38,77.21,11480000.0,1.18,6.91,11050000.0,10.97,185920000.0,N/A
1,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,151.43,28.602513747054203,N/A,20.08,21.35,24.48,12.38,62.09,60.10,1576596300000.0,1.6,24.52,2.56,5.98,20.74,260170000000.00003,98390000000.0,77310000000.0,57220000000.0,12.73,3.70,0.50,69390000000.0,21.7,118760000000.0,1.50,18.14,75370000000.0,1.17,0.07,62.12,34830000.0,1.09,0.80,33590000.0,364.11,4330000000.0,N/A
2,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,22.99,17.50088495575221,N/A,22.60,24.77,41.01,11.80,25830000000.0,22.99,174028800000.0,171970000000.0,8.42,0.94,5.05,10.72,33270000000.000004,25830000000.0,16040000000.0,8390000000.000001,5.65,22.40,10.10,13320000000.0,27.86,67090000000.0,3.14,22.60,14120000000.0,0.82,0.11,76.76,19760000.0,1.94,1.12,24800000.0,98.88,1760000000.0,N/A
3,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,126.07,13.187088274044797,N/A,5.67,0.85,0.99,2.86,47.22,898.19,20358306000.0,21450000000.0,12.24,1.63,0.12,9.44,179590000000.0,4990000000.0,2270000000.0,1580000000.0,7.59,9.50,9.50,2340000000.0,18.15,4670000000.0,0.97,17.66,2240000000.0,0.61,27.78,67.90,3660000.0,2.77,2.51,4150000.0000000005,100.09,203400000.0,N/A
4,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,60.05,46.34673366834171,N/A,5.40,11.15,15.38,4.59,11.56,18.14,163247100000.0,177950000000.0,25.06,3.16,5.55,22.17,31900000000.0,18710000000.0,8029999999.999999,3540000000.0,1.99,2.50,2.50,6140000000.0,2.07,18270000000.0,1.43,17.08,6140000000.0,0.97,0.73,77.18,12820000.0,1.78,0.74,18120000.0,92.23,1770000000.0,N/A
5,N/A,N/A,aci,N/A,N/A,N/A,N/A,N/A,647.34,42.72972972972973,N/A,466400000.0,0.75,1.66,2.85,25.02,107.81,7573464300.0,23350000000.0,0.75,0.37,0.37,8.56,62460000000.0,17590000000.0,2730000000.0,466400000.0,0.37,10.10,10.10,1900000000.0,0.82,14750000000.0,0.97,466400000.0,1900000000.0,466400000.0,14.94,73.63,14.94,466400000.0,466400000.0,14.94,15.81,479030000.0,N/A
6,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,21.31,28.23560209424084,N/A,8.57,11.11,14.68,12.93,32.82,69.98,137241064000.0,134780000000.0,26.70,3.78,3.03,18.66,43220000000.0,13310000000.0,7220000000.0,4950000000.0,7.64,31.36,31.36,6630000000.0,10.13,3510000000.0,1.37,25.18,7180000000.0,1.05,0.19,74.68,6870000.0,3.08,1.08,7790000.0,215.72,636200000.0,N/A
7,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,43.17,58.43667546174142,N/A,19.54,30.71,31.36,11.44,35.55,24.92,212465397000.0,209150000000.0,39.87,3.02,17.36,48.13,11170000000.0,9500000000.0,4350000000.0,3700000000.0,7.58,76.00,14.00,4420000000.0,9.07,4700000000.0,1.29,22.67,4810000000.0,0.92,0.29,89.10,4620000.0,1.44,0.96,4750000.0,442.95,479660000.0,N/A
8,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,53.08,40.548494983277585,N/A,3.85,20.05,26.71,4.29,9.53,15.03,44642992800.0,50040000000.0,24.15,4.44,9.02,21.78,5990000000.0,4010000000.0,2300000000.0,1110000000.0,2.99,65.56,65.56,2250000000.0,2.13,6150000000.0,1.30,31.46,1990000000.0,1.35,0.33,91.45,4920000.0,1.83,1.34,4500000.0,121.24,368220000.0,N/A
9,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,70.82,14.544117647058822,N/A,1.16,2.39,2.51,2.21,8.08,114.35,21975580000.0,30830000000.0,11.99,0.48,0.48,11.81,64660000000.0,4150000000.0000005,2610000000.0,1540000000.0,2.72,68.30,6.48,5260000000.0,8.52,13490000000.0,1.51,34.15,68.30,0.95,0.44,80.70,11060000.0,3.46,2.00,9330000.0,39.56,555500000.0,N/A
